"Zeitstempel","Ich bin sportlich","Ich bin fleißig.","Von Rückschlägen lasse ich mich nicht entmutigen.","Meine Fähigkeiten und Talente sind vorgegeben und ich kann daran nicht viel ändern.","1990 lebten 58 % der Weltbevölkerung in Ländern mit niedrigem Einkommen. Wie hoch ist der Anteil heute? Geben Sie eine Zahl ein (z. B. 9, 37 oder 61)","Wie viel der weltweit verbrauchten Energie stammt aus Erdgas, Kohle und Öl?","Welcher Anteil der Weltbevölkerung lebt in Megacitys (Städte mit mindestens 10 Millionen Einwohnern)?","Wie viele Geleebohnen befinden sich in diesem sechseckigen Glas?","Wie viele Minuten verbringen Sie an einem typischen Tag in sozialen Medien (Facebook, Instagram, Snapchat, etc.)?","Wie viele Minuten investieren Sie ca. pro Tag in Ihr Studium (abgesehen von Lehrveranstaltungen)?","Lesen Sie zur Zeit ein Buch?","Wie alt sind Sie?","Sie sind ..."
"2022/09/14 8:21:58 PM OEZ","teils teils","trifft eher zu","4","trifft überhaupt nicht zu","9","ca. 42%","4","3000","34","34","Ja","22","Männlich"
"2022/09/17 6:10:24 PM OEZ","trifft eher nicht zu","trifft eher nicht zu","2","trifft eher zu","45","ca. 62%","3","400","34","2","Nein","34","Weiblich"
"2022/09/17 6:11:20 PM OEZ","teils teils","trifft eher nicht zu","3","trifft eher zu","34","ca. 82%","5","4000","23","12","Ja","12","Männlich"
"2022/10/11 3:18:26 PM OEZ","trifft völlig zu","trifft eher zu","4","trifft eher nicht zu","61","ca. 62%","3","586","180","60","Ja","23","Weiblich"
"2022/10/11 3:19:05 PM OEZ","trifft eher nicht zu","trifft völlig zu","2","trifft eher nicht zu","43","ca. 62%","2","350","120","200","Ja","23","Weiblich"
"2022/10/11 3:19:11 PM OEZ","trifft eher nicht zu","teils teils","4","trifft eher nicht zu","36","ca. 82%","4","2700","150","60","Nein","26","Männlich"
"2022/10/11 3:19:27 PM OEZ","trifft überhaupt nicht zu","trifft eher zu","4","trifft eher nicht zu","60","ca. 82%","2","999","240","180","Ja","22","Weiblich"
"2022/10/11 3:19:27 PM OEZ","trifft völlig zu","trifft eher zu","4","teils teils","61","ca. 62%","2","500","2","180","Ja","25","Männlich"
"2022/10/11 3:19:31 PM OEZ","trifft eher zu","trifft eher zu","3","teils teils","65","ca. 42%","4","2136","200","60","Ja","24","Weiblich"
"2022/10/11 3:19:37 PM OEZ","trifft eher nicht zu","trifft eher nicht zu","2","trifft eher nicht zu","40%","ca. 82%","4","3000","240","60","Ja","23","Weiblich"
"2022/10/11 3:19:39 PM OEZ","trifft eher zu","trifft eher nicht zu","4","trifft überhaupt nicht zu","65","ca. 62%","2","5221","60","15","Nein","22","Männlich"
"2022/10/11 3:19:42 PM OEZ","teils teils","trifft eher zu","4","teils teils","60","ca. 82%","3","500","90","90","Ja","26","Weiblich"
"2022/10/11 3:19:42 PM OEZ","teils teils","trifft eher zu","2","teils teils","80","ca. 82%","1","3000","50","600","Ja","22","Weiblich"
"2022/10/11 3:19:44 PM OEZ","teils teils","trifft eher nicht zu","3","trifft eher zu","70","ca. 82%","2","2000","15","35","Ja","20","Weiblich"
"2022/10/11 3:19:45 PM OEZ","trifft eher zu","trifft eher zu","2","teils teils","62","ca. 42%","4","814","120","90","Ja","20","Weiblich"
"2022/10/11 3:19:46 PM OEZ","trifft überhaupt nicht zu","trifft völlig zu","4","trifft eher nicht zu","61","ca. 82%","2","1000","120","120","Ja","21","Weiblich"
"2022/10/11 3:19:48 PM OEZ","trifft eher zu","teils teils","2","trifft überhaupt nicht zu","60","ca. 82%","2","1500","360","30","Ja","23","Weiblich"
"2022/10/11 3:20:05 PM OEZ","teils teils","teils teils","4","trifft eher nicht zu","40","ca. 82%","2","2340","180","40","Nein","19","Weiblich"
"2022/10/11 3:20:07 PM OEZ","teils teils","trifft eher nicht zu","4","trifft überhaupt nicht zu","65","ca. 82%","4","2057","100","120","Ja","20","Weiblich"
"2022/10/11 3:20:07 PM OEZ","teils teils","trifft eher nicht zu","2","trifft eher zu","78","ca. 82%","2","1624","180","45","Ja","20","Weiblich"
"2022/10/11 3:20:14 PM OEZ","trifft eher nicht zu","teils teils","2","trifft überhaupt nicht zu","60","ca. 62%","4","543","150","90","Nein","20","Weiblich"
"2022/10/11 3:20:22 PM OEZ","trifft völlig zu","teils teils","1","trifft eher nicht zu","61","ca. 82%","5","5000","35","60","Nein","27","Männlich"
"2022/10/11 3:20:29 PM OEZ","trifft eher zu","teils teils","3","trifft eher nicht zu","74","ca. 82%","3","1423","90","120","Ja","26","Weiblich"
"2022/10/11 3:20:32 PM OEZ","trifft eher zu","trifft eher zu","3","trifft eher nicht zu","70","ca. 82%","4","2000","120","120","Ja","19","Weiblich"
"2022/10/11 3:20:36 PM OEZ","trifft eher zu","teils teils","3","trifft eher nicht zu","62","ca. 62%","2","1500","120","90","Ja","25","Weiblich"
"2022/10/11 3:20:43 PM OEZ","trifft eher nicht zu","teils teils","3","teils teils","40","ca. 62%","4","558","280","180","Ja","20","Weiblich"
"2022/10/11 3:21:05 PM OEZ","trifft eher nicht zu","trifft eher zu","3","trifft eher nicht zu","67","ca. 82%","2","486","120","180","Ja","20","Weiblich"
"2022/10/11 3:21:07 PM OEZ","trifft eher zu","teils teils","2","trifft eher nicht zu","67","ca. 62%","3","424","45","120","Nein","20","Weiblich"
"2022/10/11 3:21:18 PM OEZ","trifft eher nicht zu","trifft eher zu","2","trifft eher nicht zu","61","ca. 62%","2","1500","120","60","Ja","20","Weiblich"
"2022/10/11 3:21:38 PM OEZ","trifft völlig zu","trifft eher zu","4","teils teils","70","ca. 82%","2","1989","90","60","Nein","20","Weiblich"
"2022/10/11 3:21:40 PM OEZ","teils teils","trifft eher zu","4","trifft eher nicht zu","70","ca. 82%","4","1000","60","150","Ja","21","Weiblich"
"2022/10/11 3:22:01 PM OEZ","trifft eher nicht zu","trifft eher zu","4","teils teils","65%","ca. 62%","2","200","3","2","Ja","21","Weiblich"
"2022/10/11 3:22:27 PM OEZ","trifft eher zu","trifft eher zu","5","trifft eher nicht zu","20","ca. 62%","3","300","5","100","Nein","21","Männlich"
"2022/10/11 3:22:41 PM OEZ","trifft eher zu","trifft eher nicht zu","3","trifft eher nicht zu","40","ca. 82%","2","332","120","60","Nein","20","Männlich"
"2022/10/11 3:22:50 PM OEZ","trifft eher zu","teils teils","5","trifft überhaupt nicht zu","65","ca. 82%","4","1350","30","60","Ja","24","Männlich"
"2022/10/11 3:23:21 PM OEZ","trifft völlig zu","trifft völlig zu","5","trifft überhaupt nicht zu","15","ca. 82%","4","750","15","4","Ja","24","Männlich"
"2022/10/11 3:23:40 PM OEZ","teils teils","trifft eher nicht zu","4","trifft eher nicht zu","55","ca. 62%","2","2000","120","45","Nein","22","Männlich"
"2022/10/11 3:25:02 PM OEZ","teils teils","trifft eher zu","2","trifft eher nicht zu","30","ca. 62%","3","700","180","200","Ja","22","Weiblich"