"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","TOT","MEANSCORE","A","2003",524,
"AUS","PISAMATH","TOT","MEANSCORE","A","2006",520,
"AUS","PISAMATH","TOT","MEANSCORE","A","2009",514,
"AUS","PISAMATH","TOT","MEANSCORE","A","2012",504,
"AUS","PISAMATH","TOT","MEANSCORE","A","2015",494,
"AUT","PISAMATH","TOT","MEANSCORE","A","2003",506,
"AUT","PISAMATH","TOT","MEANSCORE","A","2006",505,
"AUT","PISAMATH","TOT","MEANSCORE","A","2012",506,
"AUT","PISAMATH","TOT","MEANSCORE","A","2015",497,
"BEL","PISAMATH","TOT","MEANSCORE","A","2003",529,
"BEL","PISAMATH","TOT","MEANSCORE","A","2006",520,
"BEL","PISAMATH","TOT","MEANSCORE","A","2009",515,
"BEL","PISAMATH","TOT","MEANSCORE","A","2012",515,
"BEL","PISAMATH","TOT","MEANSCORE","A","2015",507,
"CAN","PISAMATH","TOT","MEANSCORE","A","2003",532,
"CAN","PISAMATH","TOT","MEANSCORE","A","2006",527,
"CAN","PISAMATH","TOT","MEANSCORE","A","2009",527,
"CAN","PISAMATH","TOT","MEANSCORE","A","2012",518,
"CAN","PISAMATH","TOT","MEANSCORE","A","2015",516,
"CZE","PISAMATH","TOT","MEANSCORE","A","2003",516,
"CZE","PISAMATH","TOT","MEANSCORE","A","2006",510,
"CZE","PISAMATH","TOT","MEANSCORE","A","2009",493,
"CZE","PISAMATH","TOT","MEANSCORE","A","2012",499,
"CZE","PISAMATH","TOT","MEANSCORE","A","2015",492,
"DNK","PISAMATH","TOT","MEANSCORE","A","2003",514,
"DNK","PISAMATH","TOT","MEANSCORE","A","2006",513,
"DNK","PISAMATH","TOT","MEANSCORE","A","2009",503,
"DNK","PISAMATH","TOT","MEANSCORE","A","2012",500,
"DNK","PISAMATH","TOT","MEANSCORE","A","2015",511,
"FIN","PISAMATH","TOT","MEANSCORE","A","2003",544,
"FIN","PISAMATH","TOT","MEANSCORE","A","2006",548,
"FIN","PISAMATH","TOT","MEANSCORE","A","2009",541,
"FIN","PISAMATH","TOT","MEANSCORE","A","2012",519,
"FIN","PISAMATH","TOT","MEANSCORE","A","2015",511,
"FRA","PISAMATH","TOT","MEANSCORE","A","2003",511,
"FRA","PISAMATH","TOT","MEANSCORE","A","2006",496,
"FRA","PISAMATH","TOT","MEANSCORE","A","2009",497,
"FRA","PISAMATH","TOT","MEANSCORE","A","2012",495,
"FRA","PISAMATH","TOT","MEANSCORE","A","2015",493,
"DEU","PISAMATH","TOT","MEANSCORE","A","2003",503,
"DEU","PISAMATH","TOT","MEANSCORE","A","2006",504,
"DEU","PISAMATH","TOT","MEANSCORE","A","2009",513,
"DEU","PISAMATH","TOT","MEANSCORE","A","2012",514,
"DEU","PISAMATH","TOT","MEANSCORE","A","2015",506,
"GRC","PISAMATH","TOT","MEANSCORE","A","2003",445,
"GRC","PISAMATH","TOT","MEANSCORE","A","2006",459,
"GRC","PISAMATH","TOT","MEANSCORE","A","2009",466,
"GRC","PISAMATH","TOT","MEANSCORE","A","2012",453,
"GRC","PISAMATH","TOT","MEANSCORE","A","2015",454,
"HUN","PISAMATH","TOT","MEANSCORE","A","2003",490,
"HUN","PISAMATH","TOT","MEANSCORE","A","2006",491,
"HUN","PISAMATH","TOT","MEANSCORE","A","2009",490,
"HUN","PISAMATH","TOT","MEANSCORE","A","2012",477,
"HUN","PISAMATH","TOT","MEANSCORE","A","2015",477,
"ISL","PISAMATH","TOT","MEANSCORE","A","2003",515,
"ISL","PISAMATH","TOT","MEANSCORE","A","2006",506,
"ISL","PISAMATH","TOT","MEANSCORE","A","2009",507,
"ISL","PISAMATH","TOT","MEANSCORE","A","2012",493,
"ISL","PISAMATH","TOT","MEANSCORE","A","2015",488,
"IRL","PISAMATH","TOT","MEANSCORE","A","2003",503,
"IRL","PISAMATH","TOT","MEANSCORE","A","2006",501,
"IRL","PISAMATH","TOT","MEANSCORE","A","2009",487,
"IRL","PISAMATH","TOT","MEANSCORE","A","2012",501,
"IRL","PISAMATH","TOT","MEANSCORE","A","2015",504,
"ITA","PISAMATH","TOT","MEANSCORE","A","2003",466,
"ITA","PISAMATH","TOT","MEANSCORE","A","2006",462,
"ITA","PISAMATH","TOT","MEANSCORE","A","2009",483,
"ITA","PISAMATH","TOT","MEANSCORE","A","2012",485,
"ITA","PISAMATH","TOT","MEANSCORE","A","2015",490,
"JPN","PISAMATH","TOT","MEANSCORE","A","2003",534,
"JPN","PISAMATH","TOT","MEANSCORE","A","2006",523,
"JPN","PISAMATH","TOT","MEANSCORE","A","2009",529,
"JPN","PISAMATH","TOT","MEANSCORE","A","2012",536,
"JPN","PISAMATH","TOT","MEANSCORE","A","2015",532,
"KOR","PISAMATH","TOT","MEANSCORE","A","2003",542,
"KOR","PISAMATH","TOT","MEANSCORE","A","2006",547,
"KOR","PISAMATH","TOT","MEANSCORE","A","2009",546,
"KOR","PISAMATH","TOT","MEANSCORE","A","2012",554,
"KOR","PISAMATH","TOT","MEANSCORE","A","2015",524,
"LUX","PISAMATH","TOT","MEANSCORE","A","2003",493,
"LUX","PISAMATH","TOT","MEANSCORE","A","2006",490,
"LUX","PISAMATH","TOT","MEANSCORE","A","2009",489,
"LUX","PISAMATH","TOT","MEANSCORE","A","2012",490,
"LUX","PISAMATH","TOT","MEANSCORE","A","2015",486,
"MEX","PISAMATH","TOT","MEANSCORE","A","2003",385,
"MEX","PISAMATH","TOT","MEANSCORE","A","2006",406,
"MEX","PISAMATH","TOT","MEANSCORE","A","2009",419,
"MEX","PISAMATH","TOT","MEANSCORE","A","2012",413,
"MEX","PISAMATH","TOT","MEANSCORE","A","2015",408,
"NLD","PISAMATH","TOT","MEANSCORE","A","2003",538,
"NLD","PISAMATH","TOT","MEANSCORE","A","2006",531,
"NLD","PISAMATH","TOT","MEANSCORE","A","2009",526,
"NLD","PISAMATH","TOT","MEANSCORE","A","2012",523,
"NLD","PISAMATH","TOT","MEANSCORE","A","2015",512,
"NZL","PISAMATH","TOT","MEANSCORE","A","2003",523,
"NZL","PISAMATH","TOT","MEANSCORE","A","2006",522,
"NZL","PISAMATH","TOT","MEANSCORE","A","2009",519,
"NZL","PISAMATH","TOT","MEANSCORE","A","2012",500,
"NZL","PISAMATH","TOT","MEANSCORE","A","2015",495,
"NOR","PISAMATH","TOT","MEANSCORE","A","2003",495,
"NOR","PISAMATH","TOT","MEANSCORE","A","2006",490,
"NOR","PISAMATH","TOT","MEANSCORE","A","2009",498,
"NOR","PISAMATH","TOT","MEANSCORE","A","2012",489,
"NOR","PISAMATH","TOT","MEANSCORE","A","2015",502,
"POL","PISAMATH","TOT","MEANSCORE","A","2003",490,
"POL","PISAMATH","TOT","MEANSCORE","A","2006",495,
"POL","PISAMATH","TOT","MEANSCORE","A","2009",495,
"POL","PISAMATH","TOT","MEANSCORE","A","2012",518,
"POL","PISAMATH","TOT","MEANSCORE","A","2015",504,
"PRT","PISAMATH","TOT","MEANSCORE","A","2003",466,
"PRT","PISAMATH","TOT","MEANSCORE","A","2006",466,
"PRT","PISAMATH","TOT","MEANSCORE","A","2009",487,
"PRT","PISAMATH","TOT","MEANSCORE","A","2012",487,
"PRT","PISAMATH","TOT","MEANSCORE","A","2015",492,
"SVK","PISAMATH","TOT","MEANSCORE","A","2003",498,
"SVK","PISAMATH","TOT","MEANSCORE","A","2006",492,
"SVK","PISAMATH","TOT","MEANSCORE","A","2009",497,
"SVK","PISAMATH","TOT","MEANSCORE","A","2012",482,
"SVK","PISAMATH","TOT","MEANSCORE","A","2015",475,
"ESP","PISAMATH","TOT","MEANSCORE","A","2003",485,
"ESP","PISAMATH","TOT","MEANSCORE","A","2006",480,
"ESP","PISAMATH","TOT","MEANSCORE","A","2009",483,
"ESP","PISAMATH","TOT","MEANSCORE","A","2012",484,
"ESP","PISAMATH","TOT","MEANSCORE","A","2015",486,
"SWE","PISAMATH","TOT","MEANSCORE","A","2003",509,
"SWE","PISAMATH","TOT","MEANSCORE","A","2006",502,
"SWE","PISAMATH","TOT","MEANSCORE","A","2009",494,
"SWE","PISAMATH","TOT","MEANSCORE","A","2012",478,
"SWE","PISAMATH","TOT","MEANSCORE","A","2015",494,
"CHE","PISAMATH","TOT","MEANSCORE","A","2003",527,
"CHE","PISAMATH","TOT","MEANSCORE","A","2006",530,
"CHE","PISAMATH","TOT","MEANSCORE","A","2009",534,
"CHE","PISAMATH","TOT","MEANSCORE","A","2012",531,
"CHE","PISAMATH","TOT","MEANSCORE","A","2015",521,
"TUR","PISAMATH","TOT","MEANSCORE","A","2003",423,
"TUR","PISAMATH","TOT","MEANSCORE","A","2006",424,
"TUR","PISAMATH","TOT","MEANSCORE","A","2009",445,
"TUR","PISAMATH","TOT","MEANSCORE","A","2012",448,
"TUR","PISAMATH","TOT","MEANSCORE","A","2015",420,
"GBR","PISAMATH","TOT","MEANSCORE","A","2006",495,
"GBR","PISAMATH","TOT","MEANSCORE","A","2009",492,
"GBR","PISAMATH","TOT","MEANSCORE","A","2012",494,
"GBR","PISAMATH","TOT","MEANSCORE","A","2015",492,
"USA","PISAMATH","TOT","MEANSCORE","A","2003",483,
"USA","PISAMATH","TOT","MEANSCORE","A","2006",474,
"USA","PISAMATH","TOT","MEANSCORE","A","2009",487,
"USA","PISAMATH","TOT","MEANSCORE","A","2012",481,
"USA","PISAMATH","TOT","MEANSCORE","A","2015",470,
"BRA","PISAMATH","TOT","MEANSCORE","A","2003",356,
"BRA","PISAMATH","TOT","MEANSCORE","A","2006",370,
"BRA","PISAMATH","TOT","MEANSCORE","A","2009",386,
"BRA","PISAMATH","TOT","MEANSCORE","A","2012",389,
"BRA","PISAMATH","TOT","MEANSCORE","A","2015",377,
"CHL","PISAMATH","TOT","MEANSCORE","A","2006",411,
"CHL","PISAMATH","TOT","MEANSCORE","A","2009",421,
"CHL","PISAMATH","TOT","MEANSCORE","A","2012",423,
"CHL","PISAMATH","TOT","MEANSCORE","A","2015",423,
"EST","PISAMATH","TOT","MEANSCORE","A","2006",515,
"EST","PISAMATH","TOT","MEANSCORE","A","2009",512,
"EST","PISAMATH","TOT","MEANSCORE","A","2012",521,
"EST","PISAMATH","TOT","MEANSCORE","A","2015",520,
"IDN","PISAMATH","TOT","MEANSCORE","A","2003",360,
"IDN","PISAMATH","TOT","MEANSCORE","A","2006",391,
"IDN","PISAMATH","TOT","MEANSCORE","A","2009",371,
"IDN","PISAMATH","TOT","MEANSCORE","A","2012",375,
"IDN","PISAMATH","TOT","MEANSCORE","A","2015",386,
"ISR","PISAMATH","TOT","MEANSCORE","A","2006",442,
"ISR","PISAMATH","TOT","MEANSCORE","A","2009",447,
"ISR","PISAMATH","TOT","MEANSCORE","A","2012",466,
"ISR","PISAMATH","TOT","MEANSCORE","A","2015",470,
"LVA","PISAMATH","TOT","MEANSCORE","A","2003",483,
"LVA","PISAMATH","TOT","MEANSCORE","A","2006",486,
"LVA","PISAMATH","TOT","MEANSCORE","A","2009",482,
"LVA","PISAMATH","TOT","MEANSCORE","A","2012",491,
"LVA","PISAMATH","TOT","MEANSCORE","A","2015",482,
"RUS","PISAMATH","TOT","MEANSCORE","A","2003",468,
"RUS","PISAMATH","TOT","MEANSCORE","A","2006",476,
"RUS","PISAMATH","TOT","MEANSCORE","A","2009",468,
"RUS","PISAMATH","TOT","MEANSCORE","A","2012",482,
"RUS","PISAMATH","TOT","MEANSCORE","A","2015",494,
"SVN","PISAMATH","TOT","MEANSCORE","A","2006",504,
"SVN","PISAMATH","TOT","MEANSCORE","A","2009",501,
"SVN","PISAMATH","TOT","MEANSCORE","A","2012",501,
"SVN","PISAMATH","TOT","MEANSCORE","A","2015",510,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2006",494,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2009",495,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2012",494,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2015",490,
"COL","PISAMATH","TOT","MEANSCORE","A","2015",390,
"HKG","PISAMATH","TOT","MEANSCORE","A","2015",548,
"PER","PISAMATH","TOT","MEANSCORE","A","2015",387,
"SGP","PISAMATH","TOT","MEANSCORE","A","2015",564,
"TWN","PISAMATH","TOT","MEANSCORE","A","2015",542,
"MAC","PISAMATH","TOT","MEANSCORE","A","2015",544,
