text,created_at,text_token,text_token_s,text_si,text_sil
the body of missing princeton university student misrach ewunetie has been found. https://t.co/66wv0od5ut,2022-10-20 19:58:17+00:00,"['the', 'body', 'of', 'missing', 'princeton', 'university', 'student', 'misrach', 'ewunetie', 'has', 'been', 'found', 'https', 't', 'co', '66wv0od5ut']","['body', 'missing', 'princeton', 'university', 'student', 'misrach', 'ewunetie', 'found', '66wv0od5ut']",body missing princeton university student misrach ewunetie found 66wv0od5ut,body missing princeton university student misrach ewunetie found 66wv0od5ut
"uk prime minister liz truss quits after a disastrous six weeks in office, putting her on course to be britain's shortest-serving leader https://t.co/0o0xqscrxi",2022-10-20 12:37:10+00:00,"['uk', 'prime', 'minister', 'liz', 'truss', 'quits', 'after', 'a', 'disastrous', 'six', 'weeks', 'in', 'office', 'putting', 'her', 'on', 'course', 'to', 'be', 'britain', 's', 'shortest', 'serving', 'leader', 'https', 't', 'co', '0o0xqscrxi']","['uk', 'prime', 'minister', 'liz', 'truss', 'quits', 'disastrous', 'six', 'weeks', 'office', 'putting', 'course', 'britain', 'shortest', 'serving', 'leader', '0o0xqscrxi']",prime minister liz truss quits disastrous six weeks office putting course britain shortest serving leader 0o0xqscrxi,prime minister liz truss quits disastrous six weeks office putting course britain shortest serving leader 0o0xqscrxi
"trump weighs letting federal agents return to mar-a-lago, potentially for a supervised search, as the government seeks to ensure all docs are returned. https://t.co/ppjifj2qqq",2022-10-19 23:03:37+00:00,"['trump', 'weighs', 'letting', 'federal', 'agents', 'return', 'to', 'mar', 'a', 'lago', 'potentially', 'for', 'a', 'supervised', 'search', 'as', 'the', 'government', 'seeks', 'to', 'ensure', 'all', 'docs', 'are', 'returned', 'https', 't', 'co', 'ppjifj2qqq']","['trump', 'weighs', 'letting', 'federal', 'agents', 'return', 'mar', 'lago', 'potentially', 'supervised', 'search', 'government', 'seeks', 'ensure', 'docs', 'returned', 'ppjifj2qqq']",trump weighs letting federal agents return mar lago potentially supervised search government seeks ensure docs returned ppjifj2qqq,trump weighs letting federal agents return mar lago potentially supervised search government seeks ensure docs returned ppjifj2qqq
"britain's home secretary suella braverman quits, throwing the government of embattled prime minister liz truss into further turmoil. https://t.co/xizzmajsao",2022-10-19 16:17:29+00:00,"['britain', 's', 'home', 'secretary', 'suella', 'braverman', 'quits', 'throwing', 'the', 'government', 'of', 'embattled', 'prime', 'minister', 'liz', 'truss', 'into', 'further', 'turmoil', 'https', 't', 'co', 'xizzmajsao']","['britain', 'home', 'secretary', 'suella', 'braverman', 'quits', 'throwing', 'government', 'embattled', 'prime', 'minister', 'liz', 'truss', 'turmoil', 'xizzmajsao']",britain home secretary suella braverman quits throwing government embattled prime minister liz truss turmoil xizzmajsao,britain home secretary suella braverman quits throwing government embattled prime minister liz truss turmoil xizzmajsao
russian president vladimir putin signs a decree introducing martial law in four ukrainian regions that moscow recently claimed to have annexed https://t.co/i4d4skhrge,2022-10-19 12:02:15+00:00,"['russian', 'president', 'vladimir', 'putin', 'signs', 'a', 'decree', 'introducing', 'martial', 'law', 'in', 'four', 'ukrainian', 'regions', 'that', 'moscow', 'recently', 'claimed', 'to', 'have', 'annexed', 'https', 't', 'co', 'i4d4skhrge']","['russian', 'president', 'vladimir', 'putin', 'signs', 'decree', 'introducing', 'martial', 'law', 'four', 'ukrainian', 'regions', 'moscow', 'recently', 'claimed', 'annexed', 'i4d4skhrge']",russian president vladimir putin signs decree introducing martial law four ukrainian regions moscow recently claimed annexed i4d4skhrge,russian president vladimir putin signs decree introducing martial law four ukrainian regions moscow recently claimed annexed i4d4skhrge
rising food and housing costs drove uk inflation back to a 40-year high of 10.1% in september https://t.co/rzcvzuvhap,2022-10-19 09:04:45+00:00,"['rising', 'food', 'and', 'housing', 'costs', 'drove', 'uk', 'inflation', 'back', 'to', 'a', '40', 'year', 'high', 'of', '10', '1', 'in', 'september', 'https', 't', 'co', 'rzcvzuvhap']","['rising', 'food', 'housing', 'costs', 'drove', 'uk', 'inflation', 'back', '40', 'year', 'high', '10', '1', 'september', 'rzcvzuvhap']",rising food housing costs drove inflation back year high september rzcvzuvhap,rising food housing costs drove inflation back year high september rzcvzuvhap
jury finds paul flores guilty of first-degree murder in the death of kristin smart. his father was found not guilty of being an accessory to the murder. https://t.co/kiypga2ytv,2022-10-18 21:35:05+00:00,"['jury', 'finds', 'paul', 'flores', 'guilty', 'of', 'first', 'degree', 'murder', 'in', 'the', 'death', 'of', 'kristin', 'smart', 'his', 'father', 'was', 'found', 'not', 'guilty', 'of', 'being', 'an', 'accessory', 'to', 'the', 'murder', 'https', 't', 'co', 'kiypga2ytv']","['jury', 'finds', 'paul', 'flores', 'guilty', 'first', 'degree', 'murder', 'death', 'kristin', 'smart', 'father', 'found', 'guilty', 'accessory', 'murder', 'kiypga2ytv']",jury finds paul flores guilty first degree murder death kristin smart father found guilty accessory murder kiypga2ytv,jury finds paul flores guilty first degree murder death kristin smart father found guilty accessory murder kiypga2ytv
"russian expat who was the main source for infamous trump dossier is acquitted of lying to the fbi, an embarrassing defeat for special counsel durham
https://t.co/vu0cacf8zn",2022-10-18 20:29:03+00:00,"['russian', 'expat', 'who', 'was', 'the', 'main', 'source', 'for', 'infamous', 'trump', 'dossier', 'is', 'acquitted', 'of', 'lying', 'to', 'the', 'fbi', 'an', 'embarrassing', 'defeat', 'for', 'special', 'counsel', 'durham', 'https', 't', 'co', 'vu0cacf8zn']","['russian', 'expat', 'main', 'source', 'infamous', 'trump', 'dossier', 'acquitted', 'lying', 'fbi', 'embarrassing', 'defeat', 'special', 'counsel', 'durham', 'vu0cacf8zn']",russian expat main source infamous trump dossier acquitted lying fbi embarrassing defeat special counsel durham vu0cacf8zn,russian expat main source infamous trump dossier acquitted lying fbi embarrassing defeat special counsel durham vu0cacf8zn
"a pilot and passenger are dead after a plane crashed into a car dealership lot near marietta, ohio. authorities say no one on the ground was injured https://t.co/xoyydu8lb6",2022-10-18 16:00:21+00:00,"['a', 'pilot', 'and', 'passenger', 'are', 'dead', 'after', 'a', 'plane', 'crashed', 'into', 'a', 'car', 'dealership', 'lot', 'near', 'marietta', 'ohio', 'authorities', 'say', 'no', 'one', 'on', 'the', 'ground', 'was', 'injured', 'https', 't', 'co', 'xoyydu8lb6']","['pilot', 'passenger', 'dead', 'plane', 'crashed', 'car', 'dealership', 'lot', 'near', 'marietta', 'ohio', 'authorities', 'say', 'one', 'ground', 'injured', 'xoyydu8lb6']",pilot passenger dead plane crashed car dealership lot near marietta ohio authorities say one ground injured xoyydu8lb6,pilot passenger dead plane crashed car dealership lot near marietta ohio authorities say one ground injured xoyydu8lb6
ukraine's president zelensky says 30% of the country's power stations have been destroyed in russia's latest round of attacks https://t.co/dy8rz68qm8,2022-10-18 10:33:29+00:00,"['ukraine', 's', 'president', 'zelensky', 'says', '30', 'of', 'the', 'country', 's', 'power', 'stations', 'have', 'been', 'destroyed', 'in', 'russia', 's', 'latest', 'round', 'of', 'attacks', 'https', 't', 'co', 'dy8rz68qm8']","['ukraine', 'president', 'zelensky', 'says', '30', 'country', 'power', 'stations', 'destroyed', 'russia', 'latest', 'round', 'attacks', 'dy8rz68qm8']",ukraine president zelensky says country power stations destroyed russia latest round attacks dy8rz68qm8,ukraine president zelensky says country power stations destroyed russia latest round attacks dy8rz68qm8
president biden announces the formal launch of the student loan forgiveness application website https://t.co/qw0k3trl4b,2022-10-17 19:27:45+00:00,"['president', 'biden', 'announces', 'the', 'formal', 'launch', 'of', 'the', 'student', 'loan', 'forgiveness', 'application', 'website', 'https', 't', 'co', 'qw0k3trl4b']","['president', 'biden', 'announces', 'formal', 'launch', 'student', 'loan', 'forgiveness', 'application', 'website', 'qw0k3trl4b']",president biden announces formal launch student loan forgiveness application website qw0k3trl4b,president biden announces formal launch student loan forgiveness application website qw0k3trl4b
"a russian fighter jet has crashed into a residential building after taking off from a military airfield, state media reports https://t.co/reczia3ix3",2022-10-17 17:27:13+00:00,"['a', 'russian', 'fighter', 'jet', 'has', 'crashed', 'into', 'a', 'residential', 'building', 'after', 'taking', 'off', 'from', 'a', 'military', 'airfield', 'state', 'media', 'reports', 'https', 't', 'co', 'reczia3ix3']","['russian', 'fighter', 'jet', 'crashed', 'residential', 'building', 'taking', 'military', 'airfield', 'state', 'media', 'reports', 'reczia3ix3']",russian fighter jet crashed residential building taking military airfield state media reports reczia3ix3,russian fighter jet crashed residential building taking military airfield state media reports reczia3ix3
"former president donald trump's company charged the secret service as much as $1,185 per night at its properties despite claims they'd stay free or ""at cost,"" house panel says https://t.co/v69rtpyzsq",2022-10-17 16:31:30+00:00,"['former', 'president', 'donald', 'trump', 's', 'company', 'charged', 'the', 'secret', 'service', 'as', 'much', 'as', '1', '185', 'per', 'night', 'at', 'its', 'properties', 'despite', 'claims', 'they', 'd', 'stay', 'free', 'or', 'at', 'cost', 'house', 'panel', 'says', 'https', 't', 'co', 'v69rtpyzsq']","['former', 'president', 'donald', 'trump', 'company', 'charged', 'secret', 'service', 'much', '1', '185', 'per', 'night', 'properties', 'despite', 'claims', 'stay', 'free', 'cost', 'house', 'panel', 'says', 'v69rtpyzsq']",former president donald trump company charged secret service much 185 per night properties despite claims stay free cost house panel says v69rtpyzsq,former president donald trump company charged secret service much 185 per night properties despite claims stay free cost house panel says v69rtpyzsq
"steve bannon sentencing recommendation seeks six months in prison plus $200,000 in fines for contempt of congress conviction
https://t.co/qq4l6vlou5",2022-10-17 13:08:39+00:00,"['steve', 'bannon', 'sentencing', 'recommendation', 'seeks', 'six', 'months', 'in', 'prison', 'plus', '200', '000', 'in', 'fines', 'for', 'contempt', 'of', 'congress', 'conviction', 'https', 't', 'co', 'qq4l6vlou5']","['steve', 'bannon', 'sentencing', 'recommendation', 'seeks', 'six', 'months', 'prison', 'plus', '200', '000', 'fines', 'contempt', 'congress', 'conviction', 'qq4l6vlou5']",steve bannon sentencing recommendation seeks six months prison plus 200 000 fines contempt congress conviction qq4l6vlou5,steve bannon sentencing recommendation seeks six months prison plus 200 000 fines contempt congress conviction qq4l6vlou5
"blasts were heard in the ukrainian capital as a result of apparent russian missile strikes on monday morning. follow live updates.
https://t.co/h0p9xux3wk",2022-10-17 05:12:01+00:00,"['blasts', 'were', 'heard', 'in', 'the', 'ukrainian', 'capital', 'as', 'a', 'result', 'of', 'apparent', 'russian', 'missile', 'strikes', 'on', 'monday', 'morning', 'follow', 'live', 'updates', 'https', 't', 'co', 'h0p9xux3wk']","['blasts', 'heard', 'ukrainian', 'capital', 'result', 'apparent', 'russian', 'missile', 'strikes', 'monday', 'morning', 'follow', 'live', 'updates', 'h0p9xux3wk']",blasts heard ukrainian capital result apparent russian missile strikes monday morning follow live updates h0p9xux3wk,blasts heard ukrainian capital result apparent russian missile strikes monday morning follow live updates h0p9xux3wk
authorities in central california have arrested a man in connection with a series of killings that claimed the lives of six people https://t.co/nlzrnsmb11,2022-10-15 23:48:28+00:00,"['authorities', 'in', 'central', 'california', 'have', 'arrested', 'a', 'man', 'in', 'connection', 'with', 'a', 'series', 'of', 'killings', 'that', 'claimed', 'the', 'lives', 'of', 'six', 'people', 'https', 't', 'co', 'nlzrnsmb11']","['authorities', 'central', 'california', 'arrested', 'man', 'connection', 'series', 'killings', 'claimed', 'lives', 'six', 'people', 'nlzrnsmb11']",authorities central california arrested man connection series killings claimed lives six people nlzrnsmb11,authorities central california arrested man connection series killings claimed lives six people nlzrnsmb11
"bruce sutter, a cy young award-winning relief pitcher and world series champion who pioneered the split-finger fastball, has died at 69. https://t.co/rdnsvno63v",2022-10-14 20:06:13+00:00,"['bruce', 'sutter', 'a', 'cy', 'young', 'award', 'winning', 'relief', 'pitcher', 'and', 'world', 'series', 'champion', 'who', 'pioneered', 'the', 'split', 'finger', 'fastball', 'has', 'died', 'at', '69', 'https', 't', 'co', 'rdnsvno63v']","['bruce', 'sutter', 'cy', 'young', 'award', 'winning', 'relief', 'pitcher', 'world', 'series', 'champion', 'pioneered', 'split', 'finger', 'fastball', 'died', '69', 'rdnsvno63v']",bruce sutter young award winning relief pitcher world series champion pioneered split finger fastball died rdnsvno63v,bruce sutter young award winning relief pitcher world series champion pioneered split finger fastball died rdnsvno63v
"judge throws out one of five charges against igor danchenko, main source of trump-russia dossier, in major setback for special counsel durham's probe https://t.co/rhtcheq0ei",2022-10-14 19:39:52+00:00,"['judge', 'throws', 'out', 'one', 'of', 'five', 'charges', 'against', 'igor', 'danchenko', 'main', 'source', 'of', 'trump', 'russia', 'dossier', 'in', 'major', 'setback', 'for', 'special', 'counsel', 'durham', 's', 'probe', 'https', 't', 'co', 'rhtcheq0ei']","['judge', 'throws', 'one', 'five', 'charges', 'igor', 'danchenko', 'main', 'source', 'trump', 'russia', 'dossier', 'major', 'setback', 'special', 'counsel', 'durham', 'probe', 'rhtcheq0ei']",judge throws one five charges igor danchenko main source trump russia dossier major setback special counsel durham probe rhtcheq0ei,judge throws one five charges igor danchenko main source trump russia dossier major setback special counsel durham probe rhtcheq0ei
"robbie coltrane, the actor who brought to life the lovable gamekeeper hagrid in the harry potter film franchise, died friday, according to his agent. https://t.co/prw2bt21ry https://t.co/cavfrexhri",2022-10-14 17:30:19+00:00,"['robbie', 'coltrane', 'the', 'actor', 'who', 'brought', 'to', 'life', 'the', 'lovable', 'gamekeeper', 'hagrid', 'in', 'the', 'harry', 'potter', 'film', 'franchise', 'died', 'friday', 'according', 'to', 'his', 'agent', 'https', 't', 'co', 'prw2bt21ry', 'https', 't', 'co', 'cavfrexhri']","['robbie', 'coltrane', 'actor', 'brought', 'life', 'lovable', 'gamekeeper', 'hagrid', 'harry', 'potter', 'film', 'franchise', 'died', 'friday', 'according', 'agent', 'prw2bt21ry', 'cavfrexhri']",robbie coltrane actor brought life lovable gamekeeper hagrid harry potter film franchise died friday according agent prw2bt21ry cavfrexhri,robbie coltrane actor brought life lovable gamekeeper hagrid harry potter film franchise died friday according agent prw2bt21ry cavfrexhri
"former president trump has not said whether he will comply with a subpoena by the house select committee investigating the january 6, 2021, capitol hill insurrection https://t.co/0ynzmnguuw",2022-10-14 14:52:35+00:00,"['former', 'president', 'trump', 'has', 'not', 'said', 'whether', 'he', 'will', 'comply', 'with', 'a', 'subpoena', 'by', 'the', 'house', 'select', 'committee', 'investigating', 'the', 'january', '6', '2021', 'capitol', 'hill', 'insurrection', 'https', 't', 'co', '0ynzmnguuw']","['former', 'president', 'trump', 'said', 'whether', 'comply', 'subpoena', 'house', 'select', 'committee', 'investigating', 'january', '6', '2021', 'capitol', 'hill', 'insurrection', '0ynzmnguuw']",former president trump said whether comply subpoena house select committee investigating january 2021 capitol hill insurrection 0ynzmnguuw,former president trump said whether comply subpoena house select committee investigating january 2021 capitol hill insurrection 0ynzmnguuw
"kwasi kwarteng has been fired as britain's chancellor just weeks into the job, a senior source inside downing street has confirmed to cnn.

follow live updates ðŸ‘‰ https://t.co/4ec7sm1ctv",2022-10-14 11:44:29+00:00,"['kwasi', 'kwarteng', 'has', 'been', 'fired', 'as', 'britain', 's', 'chancellor', 'just', 'weeks', 'into', 'the', 'job', 'a', 'senior', 'source', 'inside', 'downing', 'street', 'has', 'confirmed', 'to', 'cnn', 'follow', 'live', 'updates', 'https', 't', 'co', '4ec7sm1ctv']","['kwasi', 'kwarteng', 'fired', 'britain', 'chancellor', 'weeks', 'job', 'senior', 'source', 'inside', 'downing', 'street', 'confirmed', 'cnn', 'follow', 'live', 'updates', '4ec7sm1ctv']",kwasi kwarteng fired britain chancellor weeks job senior source inside downing street confirmed cnn follow live updates 4ec7sm1ctv,kwasi kwarteng fired britain chancellor weeks job senior source inside downing street confirmed cnn follow live updates 4ec7sm1ctv
"kroger announces it's merging with albertsons in a $24.6 billion deal, creating one of the largest grocery store chains in the us https://t.co/s3fzgtffic",2022-10-14 11:40:16+00:00,"['kroger', 'announces', 'it', 's', 'merging', 'with', 'albertsons', 'in', 'a', '24', '6', 'billion', 'deal', 'creating', 'one', 'of', 'the', 'largest', 'grocery', 'store', 'chains', 'in', 'the', 'us', 'https', 't', 'co', 's3fzgtffic']","['kroger', 'announces', 'merging', 'albertsons', '24', '6', 'billion', 'deal', 'creating', 'one', 'largest', 'grocery', 'store', 'chains', 'us', 's3fzgtffic']",kroger announces merging albertsons billion deal creating one largest grocery store chains s3fzgtffic,kroger announces merging albertsons billion deal creating one largest grocery store chains s3fzgtffic
