,Unnamed: 0,created_at,id,author_id,text,text_token,text_token_s,text_si,text_sil
0,0,2021-12-10 07:20:45+00:00,1469205428227784711,44196397,@albi_sidearms maybe i will …,"['albi_sidearms', 'maybe']","['albi_sidearms', 'maybe']",albi_sidearms maybe,albi_sidearms maybe
1,1,2021-12-10 07:19:05+00:00,1469205011687223298,44196397,@jack https://t.co/ueyr6nawap,"['jack', 'co', 'ueyr6nawap']","['jack', 'co', 'ueyr6nawap']",jack ueyr6nawap,jack ueyr6nawap
2,2,2021-12-10 06:44:19+00:00,1469196261953884160,44196397,@sawyermerritt 🤣🤣,['sawyermerritt'],['sawyermerritt'],sawyermerritt,sawyermerritt
3,3,2021-12-10 04:42:00+00:00,1469165476911755264,44196397,@sawyermerritt tesla china has done amazing work,"['sawyermerritt', 'tesla', 'china', 'done', 'amazing', 'work']","['sawyermerritt', 'tesla', 'china', 'done', 'amazing', 'work']",sawyermerritt tesla china done amazing work,sawyermerritt tesla china done amazing work
4,4,2021-12-10 04:21:25+00:00,1469160298158383109,44196397,@mrbeast 🙏,['mrbeast'],['mrbeast'],mrbeast,mrbeast
5,5,2021-12-10 04:20:58+00:00,1469160186233376774,44196397,@planet4589 earth should be called water,"['planet4589', 'earth', 'called', 'water']","['planet4589', 'earth', 'called', 'water']",planet4589 earth called water,planet4589 earth called water
6,6,2021-12-10 04:02:41+00:00,1469155585119690763,44196397,@samifouad 🤣,['samifouad'],['samifouad'],samifouad,samifouad
7,7,2021-12-10 03:59:06+00:00,1469154683113676802,44196397,@tobyliiiiiiiiii noobtoob,"['tobyliiiiiiiiii', 'noobtoob']","['tobyliiiiiiiiii', 'noobtoob']",tobyliiiiiiiiii noobtoob,tobyliiiiiiiiii noobtoob
8,8,2021-12-10 03:56:22+00:00,1469153995428085762,44196397,thinking of quitting my jobs &amp; becoming an influencer full-time wdyt,"['thinking', 'quitting', 'jobs', 'amp', 'becoming', 'influencer', 'full', 'time', 'wdyt']","['thinking', 'quitting', 'jobs', 'amp', 'becoming', 'influencer', 'full', 'time', 'wdyt']",thinking quitting jobs amp becoming influencer full time wdyt,thinking quitting jobs amp becoming influencer full time wdyt
9,9,2021-12-10 02:51:25+00:00,1469137649269153799,44196397,https://t.co/zrz1eflywy,"['co', 'zrz1eflywy']","['co', 'zrz1eflywy']",zrz1eflywy,zrz1eflywy
10,10,2021-12-09 20:43:05+00:00,1469044956736237568,44196397,@teslaownerssv 🔥🔥,['teslaownerssv'],['teslaownerssv'],teslaownerssv,teslaownerssv
11,11,2021-12-09 20:19:29+00:00,1469039017790525442,44196397,@billym2k @thecryptocpa 😬,"['billym2k', 'thecryptocpa']","['billym2k', 'thecryptocpa']",billym2k thecryptocpa,billym2k thecryptocpa
12,12,2021-12-09 18:11:56+00:00,1469006918240854025,44196397,@ballaerospace @nasa_marshall @nasa @spacex congrats!,"['ballaerospace', 'nasa_marshall', 'nasa', 'spacex', 'congrats']","['ballaerospace', 'nasa_marshall', 'nasa', 'spacex', 'congrats']",ballaerospace nasa_marshall nasa spacex congrats,ballaerospace nasa_marshall nasa spacex congrats
13,13,2021-12-09 18:11:43+00:00,1469006861588434959,44196397,@_rykllan @spacex @felixschlang @marcushouse @erdayastronaut @bluemoondance74 @nexthorizonssf rocket fleets grows,"['_rykllan', 'spacex', 'felixschlang', 'marcushouse', 'erdayastronaut', 'bluemoondance74', 'nexthorizonssf', 'rocket', 'fleets', 'grows']","['_rykllan', 'spacex', 'felixschlang', 'marcushouse', 'erdayastronaut', 'bluemoondance74', 'nexthorizonssf', 'rocket', 'fleets', 'grows']",_rykllan spacex felixschlang marcushouse erdayastronaut bluemoondance74 nexthorizonssf rocket fleets grows,_rykllan spacex felixschlang marcushouse erdayastronaut bluemoondance74 nexthorizonssf rocket fleets grows
14,14,2021-12-09 18:09:31+00:00,1469006308997226502,44196397,@squawkcnbc @gordonjohnson19 🤣🤣,"['squawkcnbc', 'gordonjohnson19']","['squawkcnbc', 'gordonjohnson19']",squawkcnbc gordonjohnson19,squawkcnbc gordonjohnson19
15,15,2021-12-09 18:00:34+00:00,1469004057004105730,44196397,@rainmaker1973 amazing engine!,"['rainmaker1973', 'amazing', 'engine']","['rainmaker1973', 'amazing', 'engine']",rainmaker1973 amazing engine,rainmaker1973 amazing engine
16,16,2021-12-09 17:39:45+00:00,1468998819283148819,44196397,@cnunezimages @spacex @spaceintellige3 💯,"['cnunezimages', 'spacex', 'spaceintellige3']","['cnunezimages', 'spacex', 'spaceintellige3']",cnunezimages spacex spaceintellige3,cnunezimages spacex spaceintellige3
17,17,2021-12-09 13:38:30+00:00,1468938104446894092,44196397,@rainmaker1973 shanghai is beautiful,"['rainmaker1973', 'shanghai', 'beautiful']","['rainmaker1973', 'shanghai', 'beautiful']",rainmaker1973 shanghai beautiful,rainmaker1973 shanghai beautiful
18,18,2021-12-09 07:09:45+00:00,1468840273849589762,44196397,@ppathole probably way sooner before it’s too hot for civilization,"['ppathole', 'probably', 'way', 'sooner', 'hot', 'civilization']","['ppathole', 'probably', 'way', 'sooner', 'hot', 'civilization']",ppathole probably way sooner hot civilization,ppathole probably way sooner hot civilization
19,19,2021-12-08 21:11:08+00:00,1468689628161052674,44196397,"unless susceptible to extreme natural disasters, nuclear power plants should not be shut down","['unless', 'susceptible', 'extreme', 'natural', 'disasters', 'nuclear', 'power', 'plants', 'shut']","['unless', 'susceptible', 'extreme', 'natural', 'disasters', 'nuclear', 'power', 'plants', 'shut']",unless susceptible extreme natural disasters nuclear power plants shut,unless susceptible extreme natural disasters nuclear power plants shut
20,20,2021-12-08 21:04:14+00:00,1468687890376970257,44196397,"@watcherguru taxing all billionaires at 100% only drops national debt by ~10%, which is just one year of deficit spending","['watcherguru', 'taxing', 'billionaires', '100', 'drops', 'national', 'debt', '10', 'one', 'year', 'deficit', 'spending']","['watcherguru', 'taxing', 'billionaires', '100', 'drops', 'national', 'debt', '10', 'one', 'year', 'deficit', 'spending']",watcherguru taxing billionaires 100 drops national debt one year deficit spending,watcherguru taxing billionaires 100 drops national debt one year deficit spending
21,21,2021-12-08 21:02:40+00:00,1468687495084847115,44196397,"@watcherguru this is scary, something’s got to give","['watcherguru', 'scary', 'something', 'got', 'give']","['watcherguru', 'scary', 'something', 'got', 'give']",watcherguru scary something got give,watcherguru scary something got give
22,22,2021-12-08 20:56:14+00:00,1468685877970935809,44196397,nothing is more permanent than a “temporary” government program,"['nothing', 'permanent', 'temporary', 'government', 'program']","['nothing', 'permanent', 'temporary', 'government', 'program']",nothing permanent temporary government program,nothing permanent temporary government program
23,23,2021-12-08 20:53:21+00:00,1468685150942908424,44196397,@traderjourney exactly!,"['traderjourney', 'exactly']","['traderjourney', 'exactly']",traderjourney exactly,traderjourney exactly
24,24,2021-12-08 20:52:56+00:00,1468685044239814666,44196397,there is a lot of accounting trickery in this bill that isn’t being disclosed to the public,"['lot', 'accounting', 'trickery', 'bill', 'disclosed', 'public']","['lot', 'accounting', 'trickery', 'bill', 'disclosed', 'public']",lot accounting trickery bill disclosed public,lot accounting trickery bill disclosed public
25,25,2021-12-08 20:51:04+00:00,1468684576407101440,44196397,"if “temporary” provisions in the build back better act become permanent, us national debt will increase by 24%! https://t.co/kkdpc45job","['temporary', 'provisions', 'build', 'back', 'better', 'act', 'become', 'permanent', 'us', 'national', 'debt', 'increase', '24', 'co', 'kkdpc45job']","['temporary', 'provisions', 'build', 'back', 'better', 'act', 'become', 'permanent', 'us', 'national', 'debt', 'increase', '24', 'co', 'kkdpc45job']",temporary provisions build back better act become permanent national debt increase kkdpc45job,temporary provisions build back better act become permanent national debt increase kkdpc45job
26,26,2021-12-08 19:19:15+00:00,1468661470619738115,44196397,@engineers_feed judith cohen (jack black’s mother) also did important work on apollo https://t.co/jborez8llw,"['engineers_feed', 'judith', 'cohen', 'jack', 'black', 'mother', 'also', 'important', 'work', 'apollo', 'co', 'jborez8llw']","['engineers_feed', 'judith', 'cohen', 'jack', 'black', 'mother', 'also', 'important', 'work', 'apollo', 'co', 'jborez8llw']",engineers_feed judith cohen jack black mother also important work apollo jborez8llw,engineers_feed judith cohen jack black mother also important work apollo jborez8llw
27,27,2021-12-08 17:29:13+00:00,1468633777593331713,44196397,@28delayslater https://t.co/jvsalwjfcj,"['28delayslater', 'co', 'jvsalwjfcj']","['28delayslater', 'co', 'jvsalwjfcj']",28delayslater jvsalwjfcj,28delayslater jvsalwjfcj
28,28,2021-12-08 17:28:03+00:00,1468633486097539078,44196397,@28delayslater https://t.co/ej9swabcfm,"['28delayslater', 'co', 'ej9swabcfm']","['28delayslater', 'co', 'ej9swabcfm']",28delayslater ej9swabcfm,28delayslater ej9swabcfm
29,29,2021-12-08 17:26:46+00:00,1468633161768878080,44196397,@28delayslater https://t.co/mo4bi8mnqt,"['28delayslater', 'co', 'mo4bi8mnqt']","['28delayslater', 'co', 'mo4bi8mnqt']",28delayslater mo4bi8mnqt,28delayslater mo4bi8mnqt
30,30,2021-12-08 17:24:31+00:00,1468632596213125123,44196397,@28delayslater 🧐,['28delayslater'],['28delayslater'],28delayslater,28delayslater
31,31,2021-12-08 17:21:49+00:00,1468631917138522115,44196397,https://t.co/fjaw6l5ba0,"['co', 'fjaw6l5ba0']","['co', 'fjaw6l5ba0']",fjaw6l5ba0,fjaw6l5ba0
32,32,2021-12-08 17:04:36+00:00,1468627585580126208,44196397,@waitbutwhy brain transplants,"['waitbutwhy', 'brain', 'transplants']","['waitbutwhy', 'brain', 'transplants']",waitbutwhy brain transplants,waitbutwhy brain transplants
33,33,2021-12-08 05:01:43+00:00,1468445663704793090,44196397,@jessica_kirsh @spacex booster production is currently ahead of engine production,"['jessica_kirsh', 'spacex', 'booster', 'production', 'currently', 'ahead', 'engine', 'production']","['jessica_kirsh', 'spacex', 'booster', 'production', 'currently', 'ahead', 'engine', 'production']",jessica_kirsh spacex booster production currently ahead engine production,jessica_kirsh spacex booster production currently ahead engine production
34,34,2021-12-08 05:00:06+00:00,1468445256576290818,44196397,@tesla_raj lot of people don’t realize that you can watch almost any show in a tesla,"['tesla_raj', 'lot', 'people', 'realize', 'watch', 'almost', 'show', 'tesla']","['tesla_raj', 'lot', 'people', 'realize', 'watch', 'almost', 'show', 'tesla']",tesla_raj lot people realize watch almost show tesla,tesla_raj lot people realize watch almost show tesla
35,35,2021-12-07 21:53:00+00:00,1468337774407340043,44196397,"@worldandscience if you leave hydrogen out in the sun long enough, it starts talking to itself","['worldandscience', 'leave', 'hydrogen', 'sun', 'long', 'enough', 'starts', 'talking']","['worldandscience', 'leave', 'hydrogen', 'sun', 'long', 'enough', 'starts', 'talking']",worldandscience leave hydrogen sun long enough starts talking,worldandscience leave hydrogen sun long enough starts talking
36,36,2021-12-07 21:46:51+00:00,1468336225689948164,44196397,@rainmaker1973 wow,"['rainmaker1973', 'wow']","['rainmaker1973', 'wow']",rainmaker1973 wow,rainmaker1973 wow
37,37,2021-12-07 21:41:10+00:00,1468334797508521984,44196397,"@tobyliiiiiiiiii @rgvaerialphotos @spacex hopefully, this month, no later than next","['tobyliiiiiiiiii', 'rgvaerialphotos', 'spacex', 'hopefully', 'month', 'later', 'next']","['tobyliiiiiiiiii', 'rgvaerialphotos', 'spacex', 'hopefully', 'month', 'later', 'next']",tobyliiiiiiiiii rgvaerialphotos spacex hopefully month later next,tobyliiiiiiiiii rgvaerialphotos spacex hopefully month later next
38,38,2021-12-07 21:39:16+00:00,1468334317839568903,44196397,@rgvaerialphotos @spacex progress,"['rgvaerialphotos', 'spacex', 'progress']","['rgvaerialphotos', 'spacex', 'progress']",rgvaerialphotos spacex progress,rgvaerialphotos spacex progress
39,39,2021-12-07 16:34:00+00:00,1468257494229086213,44196397,@joshdcaplan it’s true,"['joshdcaplan', 'true']","['joshdcaplan', 'true']",joshdcaplan true,joshdcaplan true
40,40,2021-12-07 14:15:59+00:00,1468222764343603211,44196397,@billym2k 🤣,['billym2k'],['billym2k'],billym2k,billym2k
41,41,2021-12-07 07:56:47+00:00,1468127332733014024,44196397,@wholemarsblog 🤣,['wholemarsblog'],['wholemarsblog'],wholemarsblog,wholemarsblog
42,42,2021-12-07 04:10:33+00:00,1468070398369701890,44196397,"@teslafsdbeta replacing faulty/missing neurons with circuits is the right way to think about it. many problems can be solved just bridging signals between existing neurons.

progress will accelerate when we have devices in humans (hard to have nuanced conversations with monkeys) next year.","['teslafsdbeta', 'replacing', 'faulty', 'missing', 'neurons', 'circuits', 'right', 'way', 'think', 'many', 'problems', 'solved', 'bridging', 'signals', 'existing', 'neurons', 'progress', 'accelerate', 'devices', 'humans', 'hard', 'nuanced', 'conversations', 'monkeys', 'next', 'year']","['teslafsdbeta', 'replacing', 'faulty', 'missing', 'neurons', 'circuits', 'right', 'way', 'think', 'many', 'problems', 'solved', 'bridging', 'signals', 'existing', 'neurons', 'progress', 'accelerate', 'devices', 'humans', 'hard', 'nuanced', 'conversations', 'monkeys', 'next', 'year']",teslafsdbeta replacing faulty missing neurons circuits right way think many problems solved bridging signals existing neurons progress accelerate devices humans hard nuanced conversations monkeys next year,teslafsdbeta replacing faulty missing neurons circuits right way think many problems solved bridging signals existing neurons progress accelerate devices humans hard nuanced conversations monkeys next year
43,43,2021-12-07 03:57:42+00:00,1468067165039439873,44196397,"@newsmax there are already minimum age requirements for the house, senate &amp; presidency. reciprocally, there should be maximum age limits too.","['newsmax', 'already', 'minimum', 'age', 'requirements', 'house', 'senate', 'amp', 'presidency', 'reciprocally', 'maximum', 'age', 'limits']","['newsmax', 'already', 'minimum', 'age', 'requirements', 'house', 'senate', 'amp', 'presidency', 'reciprocally', 'maximum', 'age', 'limits']",newsmax already minimum age requirements house senate amp presidency reciprocally maximum age limits,newsmax already minimum age requirements house senate amp presidency reciprocally maximum age limits
44,44,2021-12-07 03:11:40+00:00,1468055581277708295,44196397,"@stocktalkweekly @neuralink i am definitely not saying that we can for sure do this, but i am increasingly confident that it is possible","['stocktalkweekly', 'neuralink', 'definitely', 'saying', 'sure', 'increasingly', 'confident', 'possible']","['stocktalkweekly', 'neuralink', 'definitely', 'saying', 'sure', 'increasingly', 'confident', 'possible']",stocktalkweekly neuralink definitely saying sure increasingly confident possible,stocktalkweekly neuralink definitely saying sure increasingly confident possible
45,45,2021-12-07 01:41:40+00:00,1468032930761035777,44196397,@icannot_enough @kimpaquette exactly,"['icannot_enough', 'kimpaquette', 'exactly']","['icannot_enough', 'kimpaquette', 'exactly']",icannot_enough kimpaquette exactly,icannot_enough kimpaquette exactly
46,46,2021-12-07 01:33:35+00:00,1468030897979113473,44196397,@univercurious that always blows my mind. sad thing is that we haven’t been back to the moon in half a century.,"['univercurious', 'always', 'blows', 'mind', 'sad', 'thing', 'back', 'moon', 'half', 'century']","['univercurious', 'always', 'blows', 'mind', 'sad', 'thing', 'back', 'moon', 'half', 'century']",univercurious always blows mind sad thing back moon half century,univercurious always blows mind sad thing back moon half century
47,47,2021-12-07 01:30:30+00:00,1468030121399492616,44196397,@teslaownerssv did it myself 🤣,['teslaownerssv'],['teslaownerssv'],teslaownerssv,teslaownerssv
48,48,2021-12-06 21:35:48+00:00,1467971059920130051,44196397,@beniko26020660 10.6.1 coming in a few days to address a few annoying issues,"['beniko26020660', '10', '6', '1', 'coming', 'days', 'address', 'annoying', 'issues']","['beniko26020660', '10', '6', '1', 'coming', 'days', 'address', 'annoying', 'issues']",beniko26020660 coming days address annoying issues,beniko26020660 coming days address annoying issues
49,49,2021-12-06 21:16:00+00:00,1467966076503965706,44196397,@rainmaker1973 looking forward to visiting. i’ve heard it’s awesome.,"['rainmaker1973', 'looking', 'forward', 'visiting', 'heard', 'awesome']","['rainmaker1973', 'looking', 'forward', 'visiting', 'heard', 'awesome']",rainmaker1973 looking forward visiting heard awesome,rainmaker1973 looking forward visiting heard awesome
50,50,2021-12-06 21:14:36+00:00,1467965723876208640,44196397,"a background in “ai” is not needed, just exceptional skill in software or computer design","['background', 'ai', 'needed', 'exceptional', 'skill', 'software', 'computer', 'design']","['background', 'ai', 'needed', 'exceptional', 'skill', 'software', 'computer', 'design']",background needed exceptional skill software computer design,background needed exceptional skill software computer design
51,51,2021-12-06 21:10:51+00:00,1467964781340540935,44196397,@nasa @nasa_astronauts congratulations!,"['nasa', 'nasa_astronauts', 'congratulations']","['nasa', 'nasa_astronauts', 'congratulations']",nasa nasa_astronauts congratulations,nasa nasa_astronauts congratulations
52,52,2021-12-06 20:44:50+00:00,1467958233482604546,44196397,@drsallyl @tesla coming soon. lot of cool stuff.,"['drsallyl', 'tesla', 'coming', 'soon', 'lot', 'cool', 'stuff']","['drsallyl', 'tesla', 'coming', 'soon', 'lot', 'cool', 'stuff']",drsallyl tesla coming soon lot cool stuff,drsallyl tesla coming soon lot cool stuff
53,53,2021-12-06 20:25:43+00:00,1467953422116831242,44196397,"@kimpaquette tesla publishes accident statistics quarterly. they are so much better than other vehicles, it is ridiculous. https://t.co/q44lsk1bnk","['kimpaquette', 'tesla', 'publishes', 'accident', 'statistics', 'quarterly', 'much', 'better', 'vehicles', 'ridiculous', 'co', 'q44lsk1bnk']","['kimpaquette', 'tesla', 'publishes', 'accident', 'statistics', 'quarterly', 'much', 'better', 'vehicles', 'ridiculous', 'co', 'q44lsk1bnk']",kimpaquette tesla publishes accident statistics quarterly much better vehicles ridiculous q44lsk1bnk,kimpaquette tesla publishes accident statistics quarterly much better vehicles ridiculous q44lsk1bnk
54,54,2021-12-06 05:42:48+00:00,1467731226609999872,44196397,"as always, tesla is looking for hardcore ai engineers who care about solving problems that directly affect people’s lives in a major way.
https://t.co/0b5tooohcj","['always', 'tesla', 'looking', 'hardcore', 'ai', 'engineers', 'care', 'solving', 'problems', 'directly', 'affect', 'people', 'lives', 'major', 'way', 'co', '0b5tooohcj']","['always', 'tesla', 'looking', 'hardcore', 'ai', 'engineers', 'care', 'solving', 'problems', 'directly', 'affect', 'people', 'lives', 'major', 'way', 'co', '0b5tooohcj']",always tesla looking hardcore engineers care solving problems directly affect people lives major way 0b5tooohcj,always tesla looking hardcore engineers care solving problems directly affect people lives major way 0b5tooohcj
55,55,2021-12-06 01:44:54+00:00,1467671360285589509,44196397,@aeiecon @sciguyspace @jimpethokoukis @pe_podcast_aei good summary,"['aeiecon', 'sciguyspace', 'jimpethokoukis', 'pe_podcast_aei', 'good', 'summary']","['aeiecon', 'sciguyspace', 'jimpethokoukis', 'pe_podcast_aei', 'good', 'summary']",aeiecon sciguyspace jimpethokoukis pe_podcast_aei good summary,aeiecon sciguyspace jimpethokoukis pe_podcast_aei good summary
56,56,2021-12-05 19:14:07+00:00,1467573012765593602,44196397,@epavlic he is quite a bossy dog :),"['epavlic', 'quite', 'bossy', 'dog']","['epavlic', 'quite', 'bossy', 'dog']",epavlic quite bossy dog,epavlic quite bossy dog
57,57,2021-12-05 03:35:29+00:00,1467336798019928066,44196397,@billym2k nfts are jpeging the dollar,"['billym2k', 'nfts', 'jpeging', 'dollar']","['billym2k', 'nfts', 'jpeging', 'dollar']",billym2k nfts jpeging dollar,billym2k nfts jpeging dollar
58,58,2021-12-05 03:33:22+00:00,1467336265997586432,44196397,@billym2k 🤣,['billym2k'],['billym2k'],billym2k,billym2k
59,59,2021-12-04 20:12:16+00:00,1467225261179559938,44196397,@ercxspace landing on tower arms,"['ercxspace', 'landing', 'tower', 'arms']","['ercxspace', 'landing', 'tower', 'arms']",ercxspace landing tower arms,ercxspace landing tower arms
60,60,2021-12-04 15:37:34+00:00,1467156129386049538,44196397,@muratpak my car is currently orbiting mars,"['muratpak', 'car', 'currently', 'orbiting', 'mars']","['muratpak', 'car', 'currently', 'orbiting', 'mars']",muratpak car currently orbiting mars,muratpak car currently orbiting mars
61,61,2021-12-04 15:36:37+00:00,1467155889601798144,44196397,@muratpak you betcha,"['muratpak', 'betcha']","['muratpak', 'betcha']",muratpak betcha,muratpak betcha
62,62,2021-12-04 15:09:32+00:00,1467149074705096713,44196397,starships to ♥️ mars ♥️,"['starships', 'mars']","['starships', 'mars']",starships mars,starships mars
63,63,2021-12-04 15:08:15+00:00,1467148751248801800,44196397,we will soon make these real https://t.co/t4z5onfnww,"['soon', 'make', 'real', 'co', 't4z5onfnww']","['soon', 'make', 'real', 'co', 't4z5onfnww']",soon make real t4z5onfnww,soon make real t4z5onfnww
64,64,2021-12-04 01:29:15+00:00,1466942645545099272,44196397,https://t.co/sigzpdyx76,"['co', 'sigzpdyx76']","['co', 'sigzpdyx76']",sigzpdyx76,sigzpdyx76
65,65,2021-12-04 01:01:30+00:00,1466935662087749636,44196397,@id_aa_carmack haha pretty much,"['id_aa_carmack', 'haha', 'pretty', 'much']","['id_aa_carmack', 'haha', 'pretty', 'much']",id_aa_carmack haha pretty much,id_aa_carmack haha pretty much
66,66,2021-12-04 00:08:47+00:00,1466922392543010823,44196397,@kristennetten @minimalduck @ludalisl @28delayslater @johnnacrider1 @arctechinc @adamhoov @sawyermerritt @garyblack00 @janeidyeve @renatakonkoly exactly,"['kristennetten', 'minimalduck', 'ludalisl', '28delayslater', 'johnnacrider1', 'arctechinc', 'adamhoov', 'sawyermerritt', 'garyblack00', 'janeidyeve', 'renatakonkoly', 'exactly']","['kristennetten', 'minimalduck', 'ludalisl', '28delayslater', 'johnnacrider1', 'arctechinc', 'adamhoov', 'sawyermerritt', 'garyblack00', 'janeidyeve', 'renatakonkoly', 'exactly']",kristennetten minimalduck ludalisl 28delayslater johnnacrider1 arctechinc adamhoov sawyermerritt garyblack00 janeidyeve renatakonkoly exactly,kristennetten minimalduck ludalisl 28delayslater johnnacrider1 arctechinc adamhoov sawyermerritt garyblack00 janeidyeve renatakonkoly exactly
67,67,2021-12-03 23:35:30+00:00,1466914018615078912,44196397,@joroulette it is an honor to serve nasa and the countries of the international space station,"['joroulette', 'honor', 'serve', 'nasa', 'countries', 'international', 'space', 'station']","['joroulette', 'honor', 'serve', 'nasa', 'countries', 'international', 'space', 'station']",joroulette honor serve nasa countries international space station,joroulette honor serve nasa countries international space station
68,68,2021-12-03 19:28:57+00:00,1466851970443010056,44196397,"@nasaspaceflight 39a is hallowed spaceflight ground – no place more deserving of a starship launch pad!

will have similar, but improved, ground systems &amp; tower to starbase.","['nasaspaceflight', '39a', 'hallowed', 'spaceflight', 'ground', 'place', 'deserving', 'starship', 'launch', 'pad', 'similar', 'improved', 'ground', 'systems', 'amp', 'tower', 'starbase']","['nasaspaceflight', '39a', 'hallowed', 'spaceflight', 'ground', 'place', 'deserving', 'starship', 'launch', 'pad', 'similar', 'improved', 'ground', 'systems', 'amp', 'tower', 'starbase']",nasaspaceflight 39a hallowed spaceflight ground place deserving starship launch pad similar improved ground systems amp tower starbase,nasaspaceflight 39a hallowed spaceflight ground place deserving starship launch pad similar improved ground systems amp tower starbase
69,69,2021-12-03 19:22:34+00:00,1466850364012044288,44196397,@evafoxu @sawyermerritt huge cranes are cool haha,"['evafoxu', 'sawyermerritt', 'huge', 'cranes', 'cool', 'haha']","['evafoxu', 'sawyermerritt', 'huge', 'cranes', 'cool', 'haha']",evafoxu sawyermerritt huge cranes cool haha,evafoxu sawyermerritt huge cranes cool haha
70,70,2021-12-03 19:20:15+00:00,1466849780253003782,44196397,@ppathole @ercxspace @spacex this will look so awesome!,"['ppathole', 'ercxspace', 'spacex', 'look', 'awesome']","['ppathole', 'ercxspace', 'spacex', 'look', 'awesome']",ppathole ercxspace spacex look awesome,ppathole ercxspace spacex look awesome
71,71,2021-12-03 19:18:44+00:00,1466849402534907910,44196397,@evafoxu @sawyermerritt i love norway! 🇳🇴 ♥️🇳🇴,"['evafoxu', 'sawyermerritt', 'love', 'norway']","['evafoxu', 'sawyermerritt', 'love', 'norway']",evafoxu sawyermerritt love norway,evafoxu sawyermerritt love norway
